Data,Quipapa - Pluv,São benedito do sul - Pluv,São Benedito do sul - Fluv,Batateira - Fluv,Belém de Maria - Pluv,Belém de Maria - Fluv,Maraial - Pluv,Jaqueira - Pluv,Laje grande - Pluv,Catende (Canaã) - Pluv,Catende - Fluv,Palmares (japaranduba)- Pluv,Palmares - Pluv,Palmares - Fluv
1/1/2012,,,245,,,129,,,,,264,,0,308
2/1/2012,,,245,,,129,,,,,265,,0,306
3/1/2012,,,245,,,129,,,,,263,,0,309
4/1/2012,,,244,,,129,,,,,263,,0,304
5/1/2012,,,244,,,128,,,,,263,,0,302
6/1/2012,,,244,,,128,,,,,263,,0,304
7/1/2012,,,245,,,128,,,,,262,,0,302
8/1/2012,,,245,,,127,,,,,264,,0,304
9/1/2012,,,244,,,128,,,,,264,,"3,2",302
10/1/2012,,,244,,,129,,,,,263,,"2,4",308
11/1/2012,,,244,,,129,,,,,264,,"2,2",304
12/1/2012,,,244,,,130,,,,,263,,"0,8",306
13/1/2012,,,244,,,131,,,,,264,,"2,4",308
14/1/2012,,,244,,,130,,,,,263,,0,306
15/1/2012,,,244,,,130,,,,,264,,0,304
16/1/2012,,,244,,,130,,,,,264,,"3,4",308
17/1/2012,,,244,,,130,,,,,263,,0,306
18/1/2012,,,244,,,128,,,,,263,,0,304
19/1/2012,,,244,,,128,,,,,263,,0,302
20/1/2012,,,248,,,129,,,,,267,,"13,2",304
21/1/2012,,,249,,,129,,,,,270,,"13,4",328
22/1/2012,,,259,,,129,,,,,277,,"21,2",330
23/1/2012,,,259,,,129,,,,,278,,"13,4",340
24/1/2012,,,256,,,130,,,,,275,,"4,4",330
25/1/2012,,,255,,,130,,,,,276,,"2,8",332
26/1/2012,,,255,,,130,,,,,272,,0,334
27/1/2012,,,253,,,130,,,,,270,,"2,4",338
28/1/2012,,,250,,,132,,,,,268,,0,326
29/1/2012,,,249,,,132,,,,,268,,0,320
30/1/2012,,,247,,,131,,,,,266,,0,312
31/1/2012,,,246,,,130,,,,,265,,0,310
1/2/2012,,,246,,,130,,,,,265,,0,310
2/2/2012,,,245,,,130,,,,,264,,0,319
3/2/2012,,,245,,,130,,,,,264,,"1,4",312
4/2/2012,,,244,,,130,,,,,264,,"2,4",308
5/2/2012,,,244,,,132,,,,,264,,"3,8",302
6/2/2012,,,244,,,132,,,,,264,,0,304
7/2/2012,,,243,,,132,,,,,264,,0,302
8/2/2012,,,243,,,134,,,,,264,,0,304
9/2/2012,,,243,,,134,,,,,264,,0,302
10/2/2012,,,243,,,132,,,,,263,,0,304
11/2/2012,,,243,,,131,,,,,262,,"3,2",302
12/2/2012,,,243,,,132,,,,,263,,"7,6",304
13/2/2012,,,243,,,132,,,,,264,,0,308
14/2/2012,,,243,,,130,,,,,262,,0,298
15/2/2012,,,243,,,130,,,,,262,,0,306
